20101,6408,154,0,0,4875,0,892,725,494,0
20102,1536,46,0,0,2060,0,237,271,216,0
20103,454,17,0,0,881,0,76,91,61,0
20104,980,53,0,0,2236,0,197,225,171,0
20105,614,44,0,0,797,0,131,135,99,0
20106,709,33,0,0,1201,0,140,131,103,0
20201,3975,125,0,0,4027,0,657,460,353,0
20202,5261,145,0,0,4660,0,834,592,397,0
20203,1004,36,0,0,1323,0,205,165,98,0
20204,585,29,0,0,940,0,117,127,66,0
20205,891,38,0,0,1604,0,172,119,135,0
20206,616,21,0,0,1283,0,103,116,98,0
20207,552,23,0,0,766,0,82,63,50,0
20301,9926,340,0,0,9984,0,1462,1014,945,0
20302,794,29,0,0,1138,0,150,98,115,0
20303,697,28,0,0,773,0,118,88,76,0
20304,310,20,0,0,662,0,81,47,56,0
20305,128,12,0,0,417,0,12,23,20,0
20306,259,13,0,0,496,0,61,58,50,0
20401,2020,68,0,0,2548,0,306,211,198,0
20402,199,10,0,0,443,0,36,37,27,0
20403,288,17,0,0,756,0,43,50,38,0
20404,586,29,0,0,947,0,146,72,91,0
20501,3079,93,0,0,3529,0,456,375,309,0
20502,1104,36,0,0,1342,0,228,136,134,0
20503,378,12,0,0,846,0,83,68,61,0
20504,411,20,0,0,606,0,84,44,36,0
20505,423,13,0,0,605,0,64,67,63,0
20506,405,10,0,0,610,0,53,36,47,0
20601,1195,33,0,0,530,0,153,100,50,0
20602,1619,95,0,0,1102,0,259,169,110,0
20603,1048,27,0,0,684,0,167,127,78,0
20604,1187,30,0,0,787,0,198,87,95,0
20605,672,19,0,0,457,0,107,73,50,0
20606,1302,33,0,0,739,0,218,124,89,0
20607,1517,85,0,0,1192,0,259,137,112,0
20608,1338,95,0,0,869,0,199,118,80,0
20609,630,23,0,0,575,0,157,70,55,0
20701,2772,88,0,0,2451,0,401,244,190,0
20702,1037,53,0,0,1235,0,138,99,132,0
20703,1487,40,0,0,1298,0,291,127,136,0
20704,466,16,0,0,582,0,51,62,44,0
20801,845,26,0,0,687,0,106,107,42,0
20802,4418,96,0,0,3499,0,518,447,355,0
20803,1780,38,0,0,1529,0,180,178,127,0
20804,3256,115,0,0,2487,0,397,345,197,0
20805,1370,31,0,0,1083,0,170,98,106,0
20806,2343,67,0,0,2851,0,282,240,182,0
20807,1625,49,0,0,2568,0,233,253,205,0
20808,1231,54,0,0,1187,0,156,124,101,0
20809,247,11,0,0,265,0,26,37,18,0
20810,800,35,0,0,984,0,141,115,79,0
20811,1334,50,0,0,1563,0,226,149,118,0
20812,885,41,0,0,1317,0,119,130,95,0
20813,992,29,0,0,888,0,158,74,97,0
20814,884,28,0,0,908,0,114,136,92,0
20901,1662,69,0,0,1834,0,235,198,133,0
20902,752,26,0,0,1624,0,123,142,95,0
20903,258,18,0,0,587,0,54,54,34,0
